City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
207,Morondava,NE,-20.2833,44.2833,84.18,74,2,6.42,light rain
208,Pinawa,NE,50.1489,-95.8811,20.55,97,100,6.85,overcast clouds
209,Les Escoumins,NE,48.1111,-69.0236,6.8,66,100,14.97,overcast clouds
210,Panjab,NE,34.388,67.0233,20.37,86,43,1.39,scattered clouds
211,Fortuna,NE,40.5982,-124.1573,50.0,76,90,24.16,overcast clouds
212,Libenge,NE,3.65,18.6333,99.3,22,90,2.26,overcast clouds
213,Mingshui,NE,36.7167,117.5,48.99,33,100,8.25,overcast clouds
214,Nantucket,NE,41.2835,-70.0995,18.0,79,1,18.41,clear sky
215,Jaisalmer,NE,26.9147,70.9181,60.31,23,0,5.08,clear sky
216,Batemans Bay,NE,-35.7167,150.1833,66.0,91,100,1.01,overcast clouds
217,Kharp,NE,66.8014,65.8081,-28.98,82,100,4.7,overcast clouds
218,Kiama,NE,-34.6833,150.8667,73.0,92,57,3.0,broken clouds
219,Erzin,NE,36.9559,36.2,50.0,86,100,8.01,light rain
220,Labytnangi,NE,66.6572,66.4183,-26.95,84,100,5.88,overcast clouds
221,Warrnambool,NE,-38.3833,142.4833,55.72,80,3,5.28,clear sky
222,Nyurba,NE,63.2842,118.3319,-38.2,81,100,2.89,overcast clouds
223,Mezhdurechensk,NE,53.6942,88.0603,-8.84,87,6,0.85,clear sky
224,Severo-Kurilsk,NE,50.6789,156.125,23.52,94,100,27.36,light snow
225,Mbeya,NE,-8.9,33.45,68.16,88,100,1.5,moderate rain
226,Lorengau,NE,-2.0226,147.2712,81.18,81,100,11.41,overcast clouds
227,Nizhniy Kuranakh,NE,58.8353,125.4869,-37.37,78,96,2.15,overcast clouds
228,Coos Bay,NE,43.3665,-124.2179,48.99,99,100,1.99,overcast clouds
229,Diego De Almagro,NE,-26.3667,-70.05,80.24,20,0,9.13,clear sky
230,Kruisfontein,NE,-34.0033,24.7314,75.0,63,0,8.99,clear sky
231,Charters Towers,NE,-20.1,146.2667,74.68,81,97,7.4,overcast clouds
232,Kaeo,NE,-35.1,173.7833,55.0,90,0,5.01,clear sky
233,Esperance,NE,-33.8667,121.9,60.8,77,0,12.66,clear sky
234,Brae,NE,60.3964,-1.353,35.6,80,75,9.22,broken clouds
235,Cap-Aux-Meules,NE,47.3821,-61.8597,24.8,74,100,24.16,overcast clouds
236,Bilma,NE,18.6853,12.9164,80.24,14,40,6.51,scattered clouds
237,Shahrud,NE,36.4182,54.9763,45.05,54,100,3.6,overcast clouds
238,Lavrentiya,NE,65.5833,-171.0,-19.01,82,0,6.82,clear sky
239,Lasa,NE,46.6166,10.7002,44.01,75,0,5.75,clear sky
240,Kungurtug,NE,50.5994,97.5228,4.93,84,60,13.31,broken clouds
241,Svetlogorsk,NE,52.6333,29.7333,24.58,98,100,5.37,light snow
